2018-10-08,133353
2018-10-09,131539
2018-10-10,135712
2018-10-11,131888
2018-10-12,129555
2018-10-13,43413
2018-10-14,80403
2018-10-15,137333
2018-10-16,134089
2018-10-17,134174
2018-10-18,133153
2018-10-19,133867
2018-10-20,114997
2018-10-21,76846
2018-10-22,134758
2018-10-23,134699
2018-10-24,133769
2018-10-25,125249
2018-10-26,127137
2018-10-27,112418
2018-10-28,78467
2018-10-29,96491
2018-10-30,136470
2018-10-31,134331
2018-11-01,133136
2018-11-02,129919
2018-11-03,110906
2018-11-04,80763
2018-11-05,133340
2018-11-06,131709
2018-11-07,131024
2018-11-08,129996
2018-11-09,132347
2018-11-10,120474
2018-11-11,78254
2018-11-12,130392
2018-11-13,128358
2018-11-14,126625
2018-11-15,127462
2018-11-16,121668
2018-11-17,112272
2018-11-18,76211
2018-11-19,133204
2018-11-20,130718
2018-11-21,130574
2018-11-22,128562
2018-11-23,131140
2018-11-24,120586
2018-11-25,83279
2018-11-26,135303
2018-11-27,131902
2018-11-28,131099
2018-11-29,130042
2018-11-30,125648
2018-12-01,112814
2018-12-02,80586
2018-12-03,134231
2018-12-04,129093
2018-12-05,132606
2018-12-06,126225
2018-12-07,123594
2018-12-08,114556
2018-12-09,83918
2018-12-10,129640
2018-12-11,127991
2018-12-12,119701
2018-12-13,125849
2018-12-14,121210
2018-12-15,110545
2018-12-16,79629
2018-12-17,130686
2018-12-18,129186
2018-12-19,124584
2018-12-20,125631
2018-12-21,125132
2018-12-22,110483
2018-12-23,80384
2018-12-24,128927
2018-12-25,127631
2018-12-26,122663
2018-12-27,121682
2018-12-28,102230
2018-12-29,101997
2018-12-30,69025
2018-12-31,128196
2019-01-01,61045
2019-01-02,124708
2019-01-03,122262
2019-01-04,120973
2019-01-05,102350
2019-01-06,67187
2019-01-07,119893
2019-01-08,112988
2019-01-09,94391
2019-01-10,115362
2019-01-11,117913
2019-01-12,103376
2019-01-13,72454
2019-01-14,119378
2019-01-15,114190
2019-01-16,83918
2019-01-17,105095
2019-01-18,132929
2019-01-19,92183
2019-01-20,66581
2019-01-21,108042
2019-01-22,101525
2019-01-23,104644
2019-01-24,98502
2019-01-25,105220
2019-01-26,92408
2019-01-27,64805
2019-01-28,109735
2019-01-29,106529
2019-01-30,98578
2019-01-31,102986
2019-02-01,100398
2019-02-02,93823
2019-02-03,68446
2019-02-04,120638
2019-02-05,121368
2019-02-06,115170
2019-02-07,117828
2019-02-08,120986
2019-02-09,106150
2019-02-10,70215
2019-02-11,131713
2019-02-12,131426
2019-02-13,129215
2019-02-14,129527
2019-02-15,124988
2019-02-16,111465
2019-02-17,81219
2019-02-18,135173
2019-02-19,133704
2019-02-20,134408
2019-02-21,131893
2019-02-22,130139
2019-02-23,113883
2019-02-24,25481
2019-02-25,134871
2019-02-26,131404
2019-02-27,125300
2019-02-28,124575
2019-03-01,127916
2019-03-02,114028
2019-03-03,77737
2019-03-04,132578
2019-03-05,134015
2019-03-06,133491
2019-03-07,123286
2019-03-08,131478
2019-03-09,117208
2019-03-10,82562
2019-03-11,134760
2019-03-12,131354
2019-03-13,128440
2019-03-14,130251
2019-03-15,129508
2019-03-16,113917
2019-03-17,74157
2019-03-18,133276
2019-03-19,134791
2019-03-20,133274
2019-03-21,131663
2019-03-22,131043
2019-03-23,115698
2019-03-24,71718
2019-03-25,131389
2019-03-26,131826
2019-03-27,129972
2019-03-28,128064
2019-03-29,112745
2019-03-30,94901
2019-03-31,50967
2019-04-01,107975
2019-04-02,121404
2019-04-03,125676
2019-04-04,126876
2019-04-05,128869
2019-04-06,119994
2019-04-07,77883
2019-04-08,130337
2019-04-09,126993
2019-04-10,130390
2019-04-11,127049
2019-04-12,130802
2019-04-13,118176
2019-04-14,77685
2019-04-15,127967
2019-04-16,125999
2019-04-17,125351
2019-04-18,127732
2019-04-19,124549
2019-04-20,103153
2019-04-21,70827
2019-04-22,124231
