open,high,low,close,volume,marketCap,date
0.3525120517,0.3647706157,0.3504015704,0.3647706157,449347621.933471,14880496657.818,2019-01-01
0.3656748987,0.3780210243,0.35957357,0.37524258950000006,543216668.575751,15307691623.9993,2019-01-02
0.37450525869999995,0.37450525869999995,0.357675368,0.36022376,438873803.439924,14695011675.9226,2019-01-03
0.3597527628,0.36464237689999995,0.35278499539999997,0.35674743909999995,450633875.58930403,14553198220.8348,2019-01-04
0.3563467435,0.3610687174,0.3539868278,0.3552750514,452090239.46493495,14493133456.6644,2019-01-05
0.3547495858,0.3696603057,0.3525886922,0.36839547590000005,492558794.209901,15028369642.2363,2019-01-06
0.3688543579,0.37790954600000004,0.3633870407,0.36434665159999996,499028522.212821,14863201413.8935,2019-01-07
0.3644195218,0.37099213119999996,0.3607340646,0.365314872,499493489.936279,14902699114.9664,2019-01-08
0.3658862665,0.37352226899999996,0.36475564369999997,0.37089021710000003,455908708.15120196,15130140418.9396,2019-01-09
0.3714640321,0.38194939780000003,0.3271586505,0.3326516423,839535352.306161,13652158154.6882,2019-01-10
0.3312839397,0.33772608579999996,0.3279135661,0.3329039273,501054509.36046296,13662512032.1385,2019-01-11
0.33300449449999997,0.3363811613,0.3280326839,0.32879977120000003,376386862.6004,13494075803.9191,2019-01-12
0.3286619077,0.33359566690000003,0.3170980532,0.3178627702,452358901.65372694,13045216854.2835,2019-01-13
0.3183543092,0.3379416664,0.3183543092,0.3337661923,545540173.999741,13697899740.6082,2019-01-14
0.3339116046,0.3365003758,0.3240107658,0.3271789166,429283719.597768,13427555273.7552,2019-01-15
0.3269459239,0.3347957769,0.32617403559999997,0.3297009455,438731638.439472,13531060364.9609,2019-01-16
0.3296899558,0.33016170079999996,0.3257402556,0.3293527429,433446502.443361,13516769989.7764,2019-01-17
0.3291961602,0.3294935011,0.3218555077,0.324276795,376280714.047206,13308451031.432,2019-01-18
0.3257020932,0.3337488769,0.3249106493,0.3310012914,420070096.831554,13584427086.4756,2019-01-19
0.3312195054,0.3321468915,0.3176089548,0.3211765338,407205880.811446,13181215053.6675,2019-01-20
0.3211785078,0.3225933688,0.3174386368,0.3207897631,363940430.82924104,13165341827.4196,2019-01-21
0.3210781757,0.3210781757,0.3134553481,0.3194908134,434125854.195898,13112032407.7908,2019-01-22
0.3195659226,0.32030336989999997,0.3149232782,0.31649204579999995,375671478.07914704,12988961767.1715,2019-01-23
0.31641634550000003,0.3188962481,0.3144326273,0.3175975621,344960253.171201,13034332606.2609,2019-01-24
0.3178585358,0.3190685558,0.3138243157,0.3171646043,360076504.922477,13016563842.8419,2019-01-25
0.3172601459,0.3193259166,0.3142351506,0.3142351506,346413647.873258,12935008077.8467,2019-01-26
0.314854407,0.3152656428,0.30836633420000004,0.3094392343,362599965.066186,12737591538.844,2019-01-27
0.3093600976,0.3098780713,0.2865628217,0.29486284890000003,584796818.256339,12137576987.0864,2019-01-28
0.2950599505,0.2962155982,0.28588826559999997,0.2895581525,454631054.854841,11919217294.9316,2019-01-29
0.2894249935,0.3240640398,0.28791460280000003,0.320461145,753787392.134001,13191291588.283998,2019-01-30
0.3207041972,0.3338351967,0.3058662698,0.310035807,780304474.314155,12762148539.2466,2019-01-31
0.3108391229,0.3118945727,0.2993992984,0.3085174213,564486615.357225,12699646520.0179,2019-02-01
0.308325781,0.311578415,0.3052311872,0.31091225219999996,429425319.800217,12798226061.8303,2019-02-02
0.3104285693,0.3112376175,0.2993702901,0.30235213920000004,438357004.014026,12445862136.9874,2019-02-03
0.3025797405,0.3050591207,0.2993641225,0.3001978856,418384496.534782,12358907414.8467,2019-02-04
0.2997625371,0.3012777283,0.29721035690000003,0.29923919460000004,424722760.392372,12319438867.7643,2019-02-05
0.299430393,0.2994909898,0.2904188452,0.2907273204,456205129.769722,11969011802.0909,2019-02-06
0.2906909735,0.2946167372,0.2904452036,0.29161804399999997,368034283.21598196,12005682182.0905,2019-02-07
0.291668027,0.3153075876,0.2901193503,0.3116831277,683014534.789456,12831745666.6026,2019-02-08
0.311577724,0.3134142813,0.3075596775,0.3112839026,461638795.22632307,12815309888.3661,2019-02-09
0.3112532243,0.31134033710000003,0.3020922147,0.30990922460000003,495640830.956408,12758715489.7811,2019-02-10
